queryString,relevant_cols,songIDs
string gospel vibes ,family/gospel,"[7524, 18251, 17048, 2955, 14958, 14831, 25767, 2859, 12853, 18277, 2326, 18950, 105, 258, 966, 16140, 13131, 10050, 7409, 15267, 4049, 21079, 13049, 15637, 17084, 6423, 19133, 8241, 8983, 7272]"
super energetic and hyper now,"danceability,energy,loudness","[4792, 28171, 5265, 27511, 27656, 28229, 18763, 27613, 20405, 3390, 27961, 5242, 4289, 28264, 27865, 3844, 20823, 4558, 18888, 28333, 20878, 22259, 20787, 4886, 27649, 28272, 5064, 20115, 5690, 28279]"
i want some bedtime music,"night/time,acousticness,instrumentalness","[17179, 17812, 18829, 20615, 17189, 17140, 17487, 19877, 17874, 17175, 5920, 3256, 20727, 17750, 17101, 3308, 13286, 19619, 23916, 17274, 15051, 20810, 17211, 18963, 19505, 20549, 18935, 18801, 12533, 15708]"
date night romance please,"night/time,dating,romantic","[18622, 27893, 388, 21658, 8498, 3308, 19238, 17106, 20615, 19156, 24253, 23638, 13903, 12133, 3084, 19964, 23862, 23637, 17150, 8881, 21541, 25428, 13194, 988, 16869, 21685, 24525, 17692, 19896, 19641]"
good vibes only,valence,"[20998, 26038, 14138, 2955, 18909, 21092, 18690, 20940, 3076, 8949, 9572, 9805, 2394, 22328, 3007, 21586, 3148, 8683, 8898, 21084, 22822, 7328, 2544, 732, 3073, 10820, 563, 552, 3570, 21289]"
strong club feels ,"danceability,energy","[27656, 28171, 28333, 5265, 27511, 27961, 4792, 20823, 28229, 27865, 22259, 28264, 18763, 2420, 20405, 3390, 4289, 20115, 24325, 18888, 27662, 4886, 18860, 18787, 28073, 28012, 20878, 27613, 5508, 5242]"
i hate everything that is happening,obscene,"[6578, 26322, 27980, 22621, 18438, 6432, 4697, 18241, 19539, 27878, 6527, 16235, 25806, 20000, 27478, 18039, 26253, 27038, 7845, 6392, 16693, 6864, 28126, 28121, 10083, 28204, 21689, 15535, 13949, 6846]"
someone cheer me up,"sadness,feelings","[26552, 18451, 18206, 7503, 5009, 19216, 7212, 3547, 4507, 4137, 3527, 17985, 19344, 3591, 7353, 7096, 7896, 1183, 3241, 10020, 7122, 18999, 15797, 14003, 24788, 7229, 19824, 27170, 10008, 11205]"
girly girls song please,like/girls,"[20155, 23454, 10321, 15747, 17626, 23714, 5947, 25983, 28352, 20441, 22596, 9571, 622, 173, 20376, 12952, 10535, 19540, 11187, 697, 8158, 901, 23960, 13108, 14291, 7965, 19748, 14274, 24286, 1104]"
i want to break something ,"violence,energy","[16118, 25955, 19805, 19839, 3415, 25926, 24943, 25859, 20345, 24729, 15952, 16888, 25148, 26888, 26121, 16461, 20271, 24443, 20129, 16691, 3667, 25246, 16646, 16135, 25255, 2764, 20942, 25007, 19804, 20114]"
i miss my family,"feelings,family/gospel","[19216, 19344, 2326, 19402, 3662, 15019, 12976, 18500, 2711, 2204, 20, 18646, 21079, 21630, 13258, 16112, 22716, 14934, 12932, 8670, 18406, 23736, 8383, 6038, 13767, 20899, 13784, 1720, 8242, 18568]"
no vocals please,instrumentalness,"[19848, 17074, 20094, 23942, 20290, 3298, 27315, 17174, 19355, 18266, 19836, 18229, 15204, 25381, 18708, 19533, 17211, 17023, 20795, 4068, 17309, 19739, 17750, 3237, 3308, 17147, 20382, 20467, 20501, 19619]"
get me ready for the gym,"energy,danceability,loudness","[4792, 28171, 5265, 27511, 27656, 28229, 18763, 27613, 20405, 3390, 27961, 5242, 4289, 28264, 27865, 3844, 20823, 4558, 18888, 28333, 20878, 22259, 20787, 4886, 27649, 28272, 5064, 20115, 5690, 28279]"
i am so pissed off right now,"violence,energy","[16118, 25955, 19805, 19839, 3415, 25926, 24943, 25859, 20345, 24729, 15952, 16888, 25148, 26888, 26121, 16461, 20271, 24443, 20129, 16691, 3667, 25246, 16646, 16135, 25255, 2764, 20942, 25007, 19804, 20114]"
i want some girls night out music,"like/girls,night/time","[18622, 21658, 3308, 2454, 19641, 20615, 12133, 4238, 3084, 25428, 21541, 8352, 24525, 19896, 23697, 13194, 2303, 26705, 18881, 7830, 173, 15111, 5669, 26194, 23672, 1750, 19492, 20945, 20320, 19354]"
positivity all around,valence,"[20998, 26038, 14138, 2955, 18909, 21092, 18690, 20940, 3076, 8949, 9572, 9805, 2394, 22328, 3007, 21586, 3148, 8683, 8898, 21084, 22822, 7328, 2544, 732, 3073, 10820, 563, 552, 3570, 21289]"
give me some travellers music ,movement/places,"[15789, 26834, 21107, 15548, 9253, 2416, 9689, 1656, 1162, 207, 8726, 23892, 18154, 7718, 24906, 3031, 21352, 13322, 4067, 9412, 11540, 11696, 18660, 1115, 16472, 2214, 11860, 14883, 11573, 1495]"
i want to scream and shout and let it all out,"violence,energy,loudness,obscene","[16118, 25955, 26322, 19805, 3415, 24943, 27038, 25746, 26121, 25148, 25581, 26888, 26253, 25926, 25859, 20345, 26088, 16888, 25542, 19839, 4792, 2764, 26028, 26093, 24243, 16135, 24443, 26500, 25806, 25246]"
i am feeling so good right now,valence,"[20998, 26038, 14138, 2955, 18909, 21092, 18690, 20940, 3076, 8949, 9572, 9805, 2394, 22328, 3007, 21586, 3148, 8683, 8898, 21084, 22822, 7328, 2544, 732, 3073, 10820, 563, 552, 3570, 21289]"
i just lost my pet so sad now,"sadness,feelings","[26552, 18451, 18206, 7503, 5009, 19216, 7212, 3547, 4507, 4137, 3527, 17985, 19344, 3591, 7353, 7096, 7896, 1183, 3241, 10020, 7122, 18999, 15797, 14003, 24788, 7229, 19824, 27170, 10008, 11205]"
family friendly music for kids,"family/gospel,valence","[2955, 7409, 105, 13131, 18277, 7524, 9447, 25680, 21079, 8270, 633, 394, 14846, 20870, 14934, 13049, 7775, 17895, 19133, 8983, 10801, 18160, 10822, 18251, 16353, 17759, 552, 23539, 361, 9562]"
i need a romantic song to perform for my crush,"dating,romantic,feelings","[19216, 15019, 12656, 19238, 13135, 17106, 19344, 14005, 19964, 23862, 17150, 23842, 16869, 21685, 7907, 24781, 18406, 14107, 15649, 332, 14398, 338, 20914, 12976, 7332, 737, 26007, 13250, 3662, 19510]"
emotional melodic tune without vocals,"instrumentalness,feelings","[19402, 3662, 18500, 2204, 20050, 18646, 3033, 18730, 12976, 14228, 14146, 19216, 23676, 19807, 13529, 18297, 20290, 18995, 18811, 18333, 20125, 20331, 25479, 20720, 7519, 20058, 2491, 3538, 16201, 19968]"
summer beach party,"danceability,loudness,energy","[4792, 28171, 5265, 27511, 27656, 28229, 18763, 27613, 20405, 3390, 27961, 5242, 4289, 28264, 27865, 3844, 20823, 4558, 18888, 28333, 20878, 22259, 20787, 4886, 27649, 28272, 5064, 20115, 5690, 28279]"
acoustic feels right now,acousticness,"[14951, 19512, 656, 17156, 18824, 17349, 29, 17613, 17611, 17309, 17570, 17140, 19215, 17638, 10460, 19516, 19487, 19083, 10427, 17422, 12608, 17212, 19605, 14894, 19505, 18468, 18810, 70, 19418, 7737]"
shouting for joy,"loudness,valence","[5816, 4954, 20943, 28367, 23436, 26038, 5282, 5592, 11923, 15497, 16259, 6661, 26127, 281, 12510, 25882, 5120, 5716, 17935, 5242, 5717, 3443, 4938, 12451, 16709, 12404, 5675, 5567, 23126, 228]"
feeling super motivated,"valence,energy","[4954, 3443, 4546, 11914, 2950, 20866, 4762, 3007, 19909, 2735, 3581, 28367, 4330, 4538, 4502, 24926, 2669, 5592, 9780, 19878, 4554, 24259, 20261, 22139, 23436, 5282, 2241, 25882, 22672, 3712]"
wanna spread some love,romantic,"[19238, 17106, 19964, 23862, 21685, 16869, 15649, 17150, 24781, 338, 19510, 26007, 14281, 377, 23598, 7907, 20914, 7332, 18021, 13903, 12600, 8888, 17501, 108, 13559, 21387, 193, 17854, 18793, 16447]"
dozing off,night/time,"[18622, 21658, 3308, 20615, 12133, 3084, 25428, 21541, 24525, 19641, 19896, 13194, 4238, 23697, 18881, 5669, 23672, 19492, 20320, 19354, 1714, 4094, 15891, 20638, 19542, 18054, 16951, 1346, 13147, 13116]"
i wanna cry so bad,sadness,"[26552, 7212, 7503, 3527, 17985, 3591, 7353, 7896, 3241, 18451, 14003, 15797, 24788, 7229, 19824, 18999, 11205, 828, 20956, 27170, 23186, 2708, 7761, 20245, 1183, 6485, 6895, 15054, 5009, 7810]"
craving for love,romantic,"[19238, 17106, 19964, 23862, 21685, 16869, 15649, 17150, 24781, 338, 19510, 26007, 14281, 377, 23598, 7907, 20914, 7332, 18021, 13903, 12600, 8888, 17501, 108, 13559, 21387, 193, 17854, 18793, 16447]"
feeling very positive today,valence,"[20998, 26038, 14138, 2955, 18909, 21092, 18690, 20940, 3076, 8949, 9572, 9805, 2394, 22328, 3007, 21586, 3148, 8683, 8898, 21084, 22822, 7328, 2544, 732, 3073, 10820, 563, 552, 3570, 21289]"
fuck everything,"violence,obscene","[6578, 25955, 19805, 16118, 4697, 2848, 16461, 20942, 11891, 22215, 6392, 25542, 15509, 27484, 26322, 19770, 27980, 7030, 14702, 14387, 4447, 15535, 22805, 9912, 16691, 22621, 3009, 18438, 16247, 17033]"
i wanna move it move it,"danceability,energy","[27656, 28171, 28333, 5265, 27511, 27961, 4792, 20823, 28229, 27865, 22259, 28264, 18763, 2420, 20405, 3390, 4289, 20115, 24325, 18888, 27662, 4886, 18860, 18787, 28073, 28012, 20878, 27613, 5508, 5242]"
damn depressed,sadness,"[26552, 7212, 7503, 3527, 17985, 3591, 7353, 7896, 3241, 18451, 14003, 15797, 24788, 7229, 19824, 18999, 11205, 828, 20956, 27170, 23186, 2708, 7761, 20245, 1183, 6485, 6895, 15054, 5009, 7810]"
feeling blessed,valence,"[20998, 26038, 14138, 2955, 18909, 21092, 18690, 20940, 3076, 8949, 9572, 9805, 2394, 22328, 3007, 21586, 3148, 8683, 8898, 21084, 22822, 7328, 2544, 732, 3073, 10820, 563, 552, 3570, 21289]"
let me grieve,sadness,"[26552, 7212, 7503, 3527, 17985, 3591, 7353, 7896, 3241, 18451, 14003, 15797, 24788, 7229, 19824, 18999, 11205, 828, 20956, 27170, 23186, 2708, 7761, 20245, 1183, 6485, 6895, 15054, 5009, 7810]"
wallowing in sadness,sadness,"[26552, 7212, 7503, 3527, 17985, 3591, 7353, 7896, 3241, 18451, 14003, 15797, 24788, 7229, 19824, 18999, 11205, 828, 20956, 27170, 23186, 2708, 7761, 20245, 1183, 6485, 6895, 15054, 5009, 7810]"
upbeat and in the groove,"danceability,energy","[27656, 28171, 28333, 5265, 27511, 27961, 4792, 20823, 28229, 27865, 22259, 28264, 18763, 2420, 20405, 3390, 4289, 20115, 24325, 18888, 27662, 4886, 18860, 18787, 28073, 28012, 20878, 27613, 5508, 5242]"
i want to punch someone,violence,"[25955, 19805, 16118, 2848, 16461, 20942, 15509, 19770, 16691, 16247, 17033, 19839, 13893, 13995, 15952, 20271, 21550, 3402, 25926, 24943, 26888, 21767, 16198, 3415, 24834, 28053, 24729, 24966, 16135, 16646]"
super sleepy,night/time,"[18622, 21658, 3308, 20615, 12133, 3084, 25428, 21541, 24525, 19641, 19896, 13194, 4238, 23697, 18881, 5669, 23672, 19492, 20320, 19354, 1714, 4094, 15891, 20638, 19542, 18054, 16951, 1346, 13147, 13116]"
need some peace and quiet,night/time,"[18622, 21658, 3308, 20615, 12133, 3084, 25428, 21541, 24525, 19641, 19896, 13194, 4238, 23697, 18881, 5669, 23672, 19492, 20320, 19354, 1714, 4094, 15891, 20638, 19542, 18054, 16951, 1346, 13147, 13116]"
blissfully in love,"romantic,valence","[21685, 23862, 377, 338, 8498, 18021, 2521, 19624, 7907, 22531, 19238, 864, 7374, 24358, 17854, 13559, 23514, 361, 21387, 3838, 14873, 24253, 3749, 1476, 12558, 17097, 21217, 9184, 22710, 20396]"
pump me up,"energy,loudness","[16018, 13640, 16149, 15783, 27037, 16118, 16119, 16112, 13637, 27837, 26493, 26449, 16195, 26546, 16314, 945, 25951, 27040, 26483, 24243, 26529, 25972, 26320, 5140, 25881, 26365, 15985, 26768, 16265, 26183]"
so happy i could dance,"danceability,valence","[20998, 5478, 22540, 21029, 22967, 21034, 21910, 28333, 20995, 21472, 19709, 27471, 21268, 21239, 22100, 25066, 21308, 18640, 21059, 27961, 21285, 16235, 21699, 27626, 20993, 20943, 22462, 20405, 21444, 21638]"
cheerful and hopeful,valence,"[20998, 26038, 14138, 2955, 18909, 21092, 18690, 20940, 3076, 8949, 9572, 9805, 2394, 22328, 3007, 21586, 3148, 8683, 8898, 21084, 22822, 7328, 2544, 732, 3073, 10820, 563, 552, 3570, 21289]"
wanna fucking swear,obscene,"[6578, 26322, 27980, 22621, 18438, 6432, 4697, 18241, 19539, 27878, 6527, 16235, 25806, 20000, 27478, 18039, 26253, 27038, 7845, 6392, 16693, 6864, 28126, 28121, 10083, 28204, 21689, 15535, 13949, 6846]"
i want to destroy everything,"violence,energy","[16118, 25955, 19805, 19839, 3415, 25926, 24943, 25859, 20345, 24729, 15952, 16888, 25148, 26888, 26121, 16461, 20271, 24443, 20129, 16691, 3667, 25246, 16646, 16135, 25255, 2764, 20942, 25007, 19804, 20114]"
today is a great day,valence,"[20998, 26038, 14138, 2955, 18909, 21092, 18690, 20940, 3076, 8949, 9572, 9805, 2394, 22328, 3007, 21586, 3148, 8683, 8898, 21084, 22822, 7328, 2544, 732, 3073, 10820, 563, 552, 3570, 21289]"
very happy now,valence,"[20998, 26038, 14138, 2955, 18909, 21092, 18690, 20940, 3076, 8949, 9572, 9805, 2394, 22328, 3007, 21586, 3148, 8683, 8898, 21084, 22822, 7328, 2544, 732, 3073, 10820, 563, 552, 3570, 21289]"
i wanna scream so bad,"loudness,energy","[16018, 13640, 16149, 15783, 27037, 16118, 16119, 16112, 13637, 27837, 26493, 26449, 16195, 26546, 16314, 945, 25951, 27040, 26483, 24243, 26529, 25972, 26320, 5140, 25881, 26365, 15985, 26768, 16265, 26183]"
feeling very emotional right now,feelings,"[19216, 19344, 3662, 15019, 12976, 18500, 2711, 2204, 19402, 18646, 13258, 22716, 12932, 16112, 8670, 23736, 8383, 18406, 13767, 6038, 1720, 18568, 19584, 14828, 19642, 5324, 14809, 22000, 20243, 18200]"
super excited i just wanna dance,"danceability,energy","[27656, 28171, 28333, 5265, 27511, 27961, 4792, 20823, 28229, 27865, 22259, 28264, 18763, 2420, 20405, 3390, 4289, 20115, 24325, 18888, 27662, 4886, 18860, 18787, 28073, 28012, 20878, 27613, 5508, 5242]"
a quiet night admiring the moon,night/time,"[18622, 21658, 3308, 20615, 12133, 3084, 25428, 21541, 24525, 19641, 19896, 13194, 4238, 23697, 18881, 5669, 23672, 19492, 20320, 19354, 1714, 4094, 15891, 20638, 19542, 18054, 16951, 1346, 13147, 13116]"
i want to break something,violence,"[25955, 19805, 16118, 2848, 16461, 20942, 15509, 19770, 16691, 16247, 17033, 19839, 13893, 13995, 15952, 20271, 21550, 3402, 25926, 24943, 26888, 21767, 16198, 3415, 24834, 28053, 24729, 24966, 16135, 16646]"
i am so sad just got rejected by my crush,"romantic,sadness","[734, 26552, 8810, 7437, 19346, 12825, 7612, 1696, 17212, 17650, 12729, 8626, 8727, 19238, 20956, 7212, 17106, 3749, 11205, 7503, 3527, 17985, 3591, 7353, 7896, 8165, 3241, 18451, 15797, 14003]"
feeling so dejected,sadness,"[26552, 7212, 7503, 3527, 17985, 3591, 7353, 7896, 3241, 18451, 14003, 15797, 24788, 7229, 19824, 18999, 11205, 828, 20956, 27170, 23186, 2708, 7761, 20245, 1183, 6485, 6895, 15054, 5009, 7810]"
falling in love,romantic,"[19238, 17106, 19964, 23862, 21685, 16869, 15649, 17150, 24781, 338, 19510, 26007, 14281, 377, 23598, 7907, 20914, 7332, 18021, 13903, 12600, 8888, 17501, 108, 13559, 21387, 193, 17854, 18793, 16447]"
lovely family time kind of song,"family/gospel,valence","[2955, 7409, 105, 13131, 18277, 7524, 9447, 25680, 21079, 8270, 633, 394, 14846, 20870, 14934, 13049, 7775, 17895, 19133, 8983, 10801, 18160, 10822, 18251, 16353, 17759, 552, 23539, 361, 9562]"
date night vibes,"dating,romantic,night/time","[18622, 27893, 388, 21658, 8498, 3308, 19238, 17106, 20615, 19156, 24253, 23638, 13903, 12133, 3084, 19964, 23862, 23637, 17150, 21541, 8881, 25428, 13194, 988, 16869, 21685, 24525, 17692, 19896, 19641]"
songs to play before i go clubbing,"movement/places,danceability,energy,night/time","[20320, 23672, 3308, 9253, 18622, 4094, 19542, 24748, 19244, 20615, 28333, 21541, 19896, 10467, 25020, 2943, 10630, 2420, 9622, 24640, 4877, 13547, 12158, 23697, 14567, 5669, 4495, 27461, 22937, 11041]"
i am in my bed crying,"sadness,feelings","[26552, 18451, 18206, 7503, 5009, 19216, 7212, 3547, 4507, 4137, 3527, 17985, 19344, 3591, 7353, 7096, 7896, 1183, 3241, 10020, 7122, 18999, 15797, 14003, 24788, 7229, 19824, 27170, 10008, 11205]"
shut the fuck up please,"violence,obscene,loudness","[16118, 11891, 6578, 26322, 25955, 20942, 16247, 19805, 28204, 16198, 26888, 22805, 26088, 6432, 27038, 16135, 3415, 24943, 27980, 2848, 25746, 16461, 26764, 26121, 25542, 20932, 26253, 6392, 25926, 27753]"
do not talk to me now i am angry,"violence,obscene,loudness","[16118, 11891, 6578, 26322, 25955, 20942, 16247, 19805, 28204, 16198, 26888, 22805, 26088, 6432, 27038, 16135, 3415, 24943, 27980, 2848, 25746, 16461, 26764, 26121, 25542, 20932, 26253, 6392, 25926, 27753]"
need to focus writing essay,instrumentalness,"[19848, 17074, 20094, 23942, 20290, 3298, 27315, 17174, 19355, 18266, 19836, 18229, 15204, 25381, 18708, 19533, 17211, 17023, 20795, 4068, 17309, 19739, 17750, 3237, 3308, 17147, 20382, 20467, 20501, 19619]"
life sucks right now bye,"sadness,feelings","[26552, 18451, 18206, 7503, 5009, 19216, 7212, 3547, 4507, 4137, 3527, 17985, 19344, 3591, 7353, 7096, 7896, 1183, 3241, 10020, 7122, 18999, 15797, 14003, 24788, 7229, 19824, 27170, 10008, 11205]"
run faster bitch,"movement/places,danceability,energy,loudness,valence","[18154, 7111, 15789, 22937, 5242, 20878, 4703, 27965, 11923, 13239, 28333, 4762, 2735, 7454, 27731, 23436, 23566, 2943, 228, 12175, 4866, 28229, 21949, 27549, 15676, 28264, 12330, 11778, 16014, 11562]"
acoustic vibes,acousticness,"[14951, 19512, 656, 17156, 18824, 17349, 29, 17613, 17611, 17309, 17570, 17140, 19215, 17638, 10460, 19516, 19487, 19083, 10427, 17422, 12608, 17212, 19605, 14894, 19505, 18468, 18810, 70, 19418, 7737]"
how faling in love should feel like,"dating,romantic,feelings","[19216, 15019, 12656, 19238, 13135, 17106, 19344, 14005, 19964, 23862, 17150, 23842, 16869, 21685, 7907, 24781, 18406, 14107, 15649, 332, 14398, 338, 20914, 12976, 7332, 737, 26007, 13250, 3662, 19510]"
songs to star gaze to,"feelings,night/time,acousticness","[12976, 7058, 15019, 1346, 1714, 14228, 4202, 7459, 17101, 15452, 7923, 17179, 15844, 20058, 17217, 19557, 17189, 17812, 1127, 17142, 13258, 20537, 23708, 19421, 12706, 2303, 17367, 4286, 16476, 17456]"
dance dance revolution,"danceability,energy","[27656, 28171, 28333, 5265, 27511, 27961, 4792, 20823, 28229, 27865, 22259, 28264, 18763, 2420, 20405, 3390, 4289, 20115, 24325, 18888, 27662, 4886, 18860, 18787, 28073, 28012, 20878, 27613, 5508, 5242]"
raining on the inside,"feelings,sadness","[26552, 18451, 18206, 7503, 5009, 19216, 7212, 3547, 4507, 4137, 3527, 17985, 19344, 3591, 7353, 7096, 7896, 1183, 3241, 10020, 7122, 18999, 15797, 14003, 24788, 7229, 19824, 27170, 10008, 11205]"
we are family all my brothers sisters and me,"family/gospel,family/spiritual","[22002, 15005, 16918, 821, 21079, 24535, 7524, 2326, 18251, 13131, 22250, 17048, 2955, 24739, 22486, 21224, 14958, 15799, 876, 14831, 2859, 25767, 13548, 2084, 17073, 12853, 18864, 18277, 18950, 22581]"
i want to punch something,"violence,obscene,loudness","[16118, 11891, 6578, 26322, 25955, 20942, 16247, 19805, 28204, 16198, 26888, 22805, 26088, 6432, 27038, 16135, 3415, 24943, 27980, 2848, 25746, 16461, 26764, 26121, 25542, 20932, 26253, 6392, 25926, 27753]"
at the gym,"movement/places,danceability,energy,loudness","[22937, 4703, 18154, 28272, 15789, 28366, 28229, 28100, 7111, 11696, 24626, 16014, 15398, 11778, 20878, 15857, 24283, 9253, 21949, 12175, 4792, 28264, 5064, 19345, 27511, 5242, 24846, 15645, 28368, 27731]"
dancing in my room alone,"danceability,energy","[27656, 28171, 28333, 5265, 27511, 27961, 4792, 20823, 28229, 27865, 22259, 28264, 18763, 2420, 20405, 3390, 4289, 20115, 24325, 18888, 27662, 4886, 18860, 18787, 28073, 28012, 20878, 27613, 5508, 5242]"
i have a crush on you,"dating,romantic,feelings","[19216, 15019, 12656, 19238, 13135, 17106, 19344, 14005, 19964, 23862, 17150, 23842, 16869, 21685, 7907, 24781, 18406, 14107, 15649, 332, 14398, 338, 20914, 12976, 7332, 737, 26007, 13250, 3662, 19510]"
groove on the move,"danceability,energy,valence","[28333, 20405, 27656, 4289, 27961, 5242, 21444, 4538, 25066, 5265, 2420, 20878, 21699, 5314, 22087, 24488, 20349, 20115, 27619, 20396, 27760, 4546, 28367, 20943, 27759, 28264, 5690, 5716, 4938, 19262]"
i just want to chill,"acousticness,instrumentalness","[17174, 17309, 17211, 19848, 17147, 19619, 17156, 18413, 17151, 20467, 17750, 17222, 17212, 3237, 19487, 18266, 19516, 17611, 19533, 17422, 17613, 19083, 20479, 17175, 17638, 17191, 18810, 20382, 18436, 17186]"
family dinner songs,"family/gospel,family/spiritual","[22002, 15005, 16918, 821, 21079, 24535, 7524, 2326, 18251, 13131, 22250, 17048, 2955, 24739, 22486, 21224, 14958, 15799, 876, 14831, 2859, 25767, 13548, 2084, 17073, 12853, 18864, 18277, 18950, 22581]"
middle finger songs ,"violence,obscene","[6578, 25955, 19805, 16118, 4697, 2848, 16461, 20942, 11891, 22215, 6392, 25542, 15509, 27484, 26322, 19770, 27980, 7030, 14702, 14387, 4447, 15535, 22805, 9912, 16691, 22621, 3009, 18438, 16247, 17033]"
i miss you a lot do you miss me ,"dating,romantic,feelings","[19216, 15019, 12656, 19238, 13135, 17106, 19344, 14005, 19964, 23862, 17150, 23842, 16869, 21685, 7907, 24781, 18406, 14107, 15649, 332, 14398, 338, 20914, 12976, 7332, 737, 26007, 13250, 3662, 19510]"
raining indoors,"feelings,sadness","[26552, 18451, 18206, 7503, 5009, 19216, 7212, 3547, 4507, 4137, 3527, 17985, 19344, 3591, 7353, 7096, 7896, 1183, 3241, 10020, 7122, 18999, 15797, 14003, 24788, 7229, 19824, 27170, 10008, 11205]"
feelings and shit,"feelings,sadness","[26552, 18451, 18206, 7503, 5009, 19216, 7212, 3547, 4507, 4137, 3527, 17985, 19344, 3591, 7353, 7096, 7896, 1183, 3241, 10020, 7122, 18999, 15797, 14003, 24788, 7229, 19824, 27170, 10008, 11205]"
i am so hyped right now ,"danceability,energy,valence","[28333, 20405, 27656, 4289, 27961, 5242, 21444, 4538, 25066, 5265, 2420, 20878, 21699, 5314, 22087, 24488, 20349, 20115, 27619, 20396, 27760, 4546, 28367, 20943, 27759, 28264, 5690, 5716, 4938, 19262]"
i need very loud music,"loudness,valence,energy","[4954, 28367, 3443, 5592, 23436, 24259, 5282, 11914, 11923, 4762, 3007, 25882, 15497, 5242, 4502, 20866, 5816, 2950, 3712, 4342, 5446, 4330, 20261, 4546, 759, 16709, 4677, 5614, 16351, 3393]"
shake it off,"movement/places,danceability,energy","[22937, 18154, 28366, 9253, 4703, 28100, 15789, 28272, 28229, 7111, 13239, 19345, 21949, 11696, 15398, 11778, 24626, 15857, 24846, 28368, 28264, 20878, 28333, 16014, 15659, 28337, 18860, 2735, 4866, 16472]"
i need jesus,"family/gospel,family/spiritual","[22002, 15005, 16918, 821, 21079, 24535, 7524, 2326, 18251, 13131, 22250, 17048, 2955, 24739, 22486, 21224, 14958, 15799, 876, 14831, 2859, 25767, 13548, 2084, 17073, 12853, 18864, 18277, 18950, 22581]"
white girl trash,"like/girls,danceability","[28352, 12079, 20155, 24286, 20632, 9571, 5947, 27480, 6942, 21235, 28305, 6062, 21065, 26849, 6845, 22797, 5701, 23454, 13727, 27938, 21916, 5314, 21521, 21809, 19429, 22861, 5892, 28306, 23390, 22014]"
